price,community,layout,perprice,region,area,payment,year,orientation,type,floor,renovation,elevator
57,凤凰城,3室2厅1卫,6951,"资中县－资中城区－321国道,近资州大道",82,17.1,2014,南,普通住宅,中层(共26层),精装修,有
95.8,西湖逸品,3室2厅1卫,9038,隆昌市－隆昌城区－隆华路一段51号,106,28.74,2017,东南,普通住宅,高层(共29层),精装修,有
70.8,加州蓝湾,3室2厅2卫,5446,东兴区－新六中－临江路548号,130,21.24,2010,南北,普通住宅,高层(共28层),精装修,有
79.6,邦泰国际社区御峰,3室2厅1卫,9256,东兴区－三湾路－双凤路,86,23.88,2016,南北,普通住宅,中层(共26层),精装修,有
57.8,金山晶座,3室2厅1卫,6061,资中县－资中城区－滨江西路236号,95.4,17.34,2014,南北,普通住宅,中层(共30层),毛坯,有
78,鸿通春天江与城,3室2厅2卫,9873,"东兴区－东兴－兰桂大道,近北环路",79,23.4,2016,南北,普通住宅,中层(共33层),精装修,有
69.8,现代国际,3室2厅2卫,7122,资中县－资中城区－资州大道南一段46号,98,20.94,2015,南北,普通住宅,低层(共29层),精装修,有
46.8,远达世纪城,3室2厅2卫,5258,资中县－资中城区－凤鸣路,89,14.04,2020,南北,普通住宅,中层(共25层),毛坯,有
54,金科集美星辰,3室2厅2卫,5684,市中区－城西－汉安大道西段,95,16.2,2019,南,普通住宅,中层(共23层),精装修,有
55.8,凤凰城,3室2厅2卫,5694,"资中县－资中城区－321国道,近资州大道",98,16.74,2014,南北,普通住宅,中层(共33层),毛坯,有
