价格（万）,小区,房屋户型,房屋单价（元/m²）,所在位置,建筑面积（平方米）,参考首付（万）,建造年代（年）,房屋朝向,参考月供,房屋类型,所在楼层,装修程度,配套电梯,产权性质,是否一手房源
65.8万,金山国际,3室2厅1卫,6714,东兴区－新六中－晨望路8号,98,19.74,2009,南北,,普通住宅,低层(共11层),精装修,有,商品房,否
72.8万,西浦官邸,3室2厅2卫,6154,市中区－城西－双苏路6号,118.3,21.84,2016,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
63.8万,金山晶座,3室2厅1卫,7296,资中县－资中城区－滨江西路236号,87.5,19.14,2014,南北,,普通住宅,高层(共30层),精装修,有,商品房,否
88万,邦泰铂仕公馆,3室2厅2卫,9110,东兴区－三湾路－兰桂大道,96.6,26.40,2015,南北,,普通住宅,高层(共32层),精装修,有,商品房,否
66.8万,德馨苑,3室2厅2卫,5260,东兴区－月儿湾－东兴大道3号,127,20.04,2006,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
67.6万,欧城印象,3室2厅1卫,6969,东兴区－月儿湾－兴隆路532号,97,20.28,2015,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
63万,荷香苑,3室2厅1卫,6225,市中区－城西－双苏路269号,101.2,18.90,2012,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
44.8万,翔龙山,3室2厅1卫,4667,市中区－市中周边－玉带街1号,96,13.44,2003,东,,普通住宅,低层(共7层),精装修,无,商品房,否
83.8万,邦泰国际社区御峰,3室2厅1卫,9744,东兴区－三湾路－双凤路,86,25.14,2015,南北,,普通住宅,中层(共32层),精装修,有,商品房,否
46.8万,春光花园,3室2厅3卫,3900,隆昌市－隆昌城区－春光路26号,120,14.04,2006,南,,普通住宅,共2层,精装修,无,商品房,否
102万,蜀隆首座,3室2厅2卫,8571,"隆昌市－隆昌城区－人民中路,近万隆路",119,30.60,2017,南北,,普通住宅,低层(共19层),精装修,无,商品房,否
